"id","country_id","name","enabled","deleted_at","created_at","updated_at"
"426","AR","Mercedes","1",NULL,NULL,NULL
"427","AR","Merlo","1",NULL,NULL,NULL
"428","AR","Minacar","1",NULL,NULL,NULL
"429","AR","Miramar","1",NULL,NULL,NULL
"430","AR","Monje","1",NULL,NULL,NULL
"431","AR","Monte Hermoso","1",NULL,NULL,NULL
"432","AR","Monteros","1",NULL,NULL,NULL
"433","AR","Montserrat","1",NULL,NULL,NULL
"434","AR","Moreno","1",NULL,NULL,NULL
"435","AR","Moron","1",NULL,NULL,NULL
"436","AR","Morteros","1",NULL,NULL,NULL
"437","AR","Muniz","1",NULL,NULL,NULL
"438","AR","Munro","1",NULL,NULL,NULL
"439","AR","Navarro","1",NULL,NULL,NULL
"440","AR","Necochea","1",NULL,NULL,NULL
"441","AR","Nogoya","1",NULL,NULL,NULL
"442","AR","Nordelta","1",NULL,NULL,NULL
"443","AR","Nunez","1",NULL,NULL,NULL
"444","AR","Obera","1",NULL,NULL,NULL
"445","AR","Oliva","1",NULL,NULL,NULL
"446","AR","Oliveros","1",NULL,NULL,NULL
"447","AR","Olivos","1",NULL,NULL,NULL
"448","AR","Oncativo","1",NULL,NULL,NULL
"449","AR","Open Door","1",NULL,NULL,NULL
"450","AR","Ordonez","1",NULL,NULL,NULL
"451","AR","Palermo","1",NULL,NULL,NULL
"452","AR","Palmira","1",NULL,NULL,NULL
"453","AR","Palpala","1",NULL,NULL,NULL
"454","AR","Partido de Jose C. Paz","1",NULL,NULL,NULL
"455","AR","Pasco","1",NULL,NULL,NULL
"456","AR","Paso del Rey","1",NULL,NULL,NULL
"457","AR","Paternal","1",NULL,NULL,NULL
"458","AR","Pavon","1",NULL,NULL,NULL
"459","AR","Pedernales","1",NULL,NULL,NULL
"460","AR","Pedro Luro","1",NULL,NULL,NULL
"461","AR","Pellegrini","1",NULL,NULL,NULL
"462","AR","Perez","1",NULL,NULL,NULL
"463","AR","Pergamino","1",NULL,NULL,NULL
"464","AR","Perico","1",NULL,NULL,NULL
"465","AR","Perito Moreno","1",NULL,NULL,NULL
"466","AR","Piamonte","1",NULL,NULL,NULL
"467","AR","Pico de Salamanca","1",NULL,NULL,NULL
"468","AR","Pico Truncado","1",NULL,NULL,NULL
"469","AR","Pigue","1",NULL,NULL,NULL
"470","AR","Pilar","1",NULL,NULL,NULL
"471","AR","Pinamar","1",NULL,NULL,NULL
"472","AR","Piquete Cabado","1",NULL,NULL,NULL
"473","AR","Platanos","1",NULL,NULL,NULL
"474","AR","Plaza Huincul","1",NULL,NULL,NULL
